No,Mycelial growth,,Pig,Sexual development,,,,Con,Vir,Toxins,,Stress responses,,,,,
FGSG_10015,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02130,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07076,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04258,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12264,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12006,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12002,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08831,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10030,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11624,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09945,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09524,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4
FGSG_09349,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4
FGSG_11520,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10977,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11051,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11462,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10891,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04680,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04666,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04496,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07575,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07568,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05926,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03924,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03873,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04170,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05827,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06516,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03606,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02150,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05309,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02825,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06380,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04782,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00153,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13652,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13625,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4
FGSG_13386,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13344,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13098,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13008,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13830,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13828,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13457,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12173,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12134,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12094,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12398,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11996,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12385,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12660,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12611,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12597,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11720,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11709,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11686,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12742,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12714,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12703,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12798,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13172,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08861,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08808,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08791,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12528,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11672,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11654,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09726,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09921,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09884,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10536,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10505,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11821,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09594,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09178,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09147,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09123,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09111,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09065,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09014,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09333,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09331,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10429,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4
FGSG_00568,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4
FGSG_08972,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08930,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08924,3,2,5,4,4,4,4,3,4,4,4,4,4,2,4,4,4
FGSG_11561,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
FGSG_12244,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10364,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11093,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11218,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11186,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11271,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11262,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10914,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10895,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10812,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10674,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10660,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10639,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08392,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08321,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08369,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08626,4,4,4,4,3,2,2,4,4,4,4,4,4,4,4,4,4
FGSG_07265,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4
FGSG_07198,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07192,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07177,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4
FGSG_00967,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01936,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08179,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08038,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08034,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07927,4,4,4,4,4,4,4,4,4,4,4,6,6,4,4,4,4
FGSG_02277,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07884,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07827,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08135,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08080,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04643,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06810,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4
FGSG_04581,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12927,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12813,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13135,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08828,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10533,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09075,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09371,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09328,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10980,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11124,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11216,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07889,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03353,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03068,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04203,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05772,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03649,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02431,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02787,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01731,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06460,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03783,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00813,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11891,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12631,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11683,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12729,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09464,4,4,4,4,4,4,4,4,4,4,4,6,4,4,6,6,4
FGSG_09177,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10266,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09080,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10468,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09225,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10070,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12282,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11247,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11364,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
FGSG_11358,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11355,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08349,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08010,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04683,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04671,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_14003,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13455,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12115,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04576,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01853,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01795,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07604,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07591,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07589,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01515,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05958,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05925,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03929,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03919,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03912,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03892,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03878,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03861,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03857,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07693,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03415,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03399,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03390,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07482,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06750,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06699,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05725,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05716,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05682,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05646,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03044,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03037,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02969,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05503,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4
FGSG_04191,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04109,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
FGSG_03327,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03322,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03294,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03292,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03246,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03226,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03219,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03214,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03207,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03201,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05789,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07079,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07368,4,4,4,4,4,4,4,4,6,4,4,6,4,4,4,4,4
FGSG_01378,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01318,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06915,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03159,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03138,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03102,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04459,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06593,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03702,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02167,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02068,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4
FGSG_01172,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02531,4,4,3,4,4,4,4,4,6,4,4,2,4,4,4,4,4
FGSG_02435,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05370,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05350,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05332,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05279,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02799,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02696,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02554,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02874,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02854,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03551,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03508,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01760,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01669,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04311,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05157,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04974,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04901,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04888,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05120,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05068,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
FGSG_01638,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01564,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01562,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06503,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06442,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06436,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00725,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00713,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02410,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02384,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02368,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02323,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06382,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06324,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04830,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04786,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04747,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03786,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03727,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00774,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00625,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00313,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00011,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00235,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00227,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00196,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00217,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00102,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00052,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00081,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00069,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00125,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
